review_id,user_id,business_id,stars,text,ground_truths_overall,ground_truths_food,ground_truths_service,ground_truths_price,ground_truths_ambience
5dIleZpTxKwjRqBercHV1w,6G7JMGMjwsni6UM-jgn6JA,iSRTaT9WngzB8JJ2YKJUig,5,Great meal and service. I didn't realize how large the portions were when I initially ordered so I over ordered. The food was very authentic and flavorful though hence the rating.,0.9,1,0.8,,
LETLlxzUzv4eHkD84jea-Q,jOLRUxLpI0NgLsuWHNq9rA,iSRTaT9WngzB8JJ2YKJUig,5,Please don't listen to anyone Who gives this place less than 4-5 stars! The ordering system is different but effective. The biscuits are great (fluffy and delicious). The Crawfish Etoufee is unreal and the Oysters/Shrimp Po-Boy is great.,0.8,1,,,
9sXneDy_Oyd-n-bCUz6TLg,lnl9XpsQ01k-pnxnf-0DAA,iSRTaT9WngzB8JJ2YKJUig,3,Seems like a must while in NO. Mostly I enjoyed experiencing a snapshot of the NO community as I waited for takeout to enjoy on hotel rooftop patio. Late breakfast -- debris (shredded roast beef in juice) on top of grits with cheese. Apparently grape jelly is a conventional condiment.,0.6,0.7,,,
0tBSNwWA3eMtbBC2PgzQtQ,FJpsfNM620MiQVtGXsznpQ,iSRTaT9WngzB8JJ2YKJUig,1,"One of the worst meals I have ever eaten, I was told this was an iconic place to eat do not go there. The place was dirty the food was cold orders were wrong. Had to get our own silverware and refills on drinks. They said it's a thirty minute wait on fried chicken dinner so you expect hot juicy chicken wrong!! Cold dry chicken greens had no flavor cooked in water and no seasoning. the best thing-in this restaurant is the exit door save your money.",-1,-1,-0.2,,-0.7
YMiytO01Ocd6rT-0XWfacQ,bK0PskbRUT7Eo6FYOjydlw,iSRTaT9WngzB8JJ2YKJUig,2,"I had been wanting to try this place for years but every time I went to New Orleans, there was a line out the door. But on this last trip, I finally made it, and I just don't get it.  The floor and the tables were greasy; the workers were pretty rude; and the food was mediocre. I had the ferdis sandwich and it grossed me out - the bread was soggy and fell apart and I had to eat the insides with a fork. I also tried the jambalaya, which was ok - I've had better.  I was definitely disappointed in this place. Don't believe the hype!",-0.8,-0.6,-0.8,,-0.7
vbM-THkWu7o2KbFj0u38ug,YgQXfE1RT8HurUv5UWD9nQ,iSRTaT9WngzB8JJ2YKJUig,3,"Wait wasn't too bad however the food wasn't spectacular.  It was just ok but perhaps that's because I'm from the South so I've had great home cooking most of my life.  
We had the ham plate w greens, cabbage and potato salad, red beans and rice (no spice),fried fish, breakfast special, bread pudding...nothing special out of any of it, sadly.",0.3,0.2,,,
vYxz_9dlsvTvtxscaQzE2w,9MHnj_Ay4H6rmIXfP_xn1w,iSRTaT9WngzB8JJ2YKJUig,5,"Ate here three times when I was in NOLA.  The po' boys were outstanding (try the fried shrimp!) and even though the place was ALWAYS packed, the service was great and the food came out fast and hot.  If you're staying downtown for a convention, this is a must!",0.8,0.8,0.8,,
khuy3aKkXP7TQzDEezNCYw,4BQFXHGymeYot3b1BYwd7Q,iSRTaT9WngzB8JJ2YKJUig,5,I did not read the bad reviews so I don't know the complaints against this joint. This place was perfect for breakfast. I had the grits with roast beef ends. Awesome. My wife had a ham scallion mushroom omelet. Perfect. The biscuits are old school heaven. Our waitress (Pat) was super efficient. She never disappeared and had the answers to all our questions. I highly recommend this place,1,1,1,,
eC2RdN3SF6JDw8Ki-yP5fA,8cRfVboGSLA_yc94mBwY-w,iSRTaT9WngzB8JJ2YKJUig,4,"Very yummy breakfast. Pancakes were awesome and grits were fantastical! LOL

Tips: The line is cafeteria style but your food is brought to the table.  Be prepared to stand in line! We went early and got lucky but the line was down the block when we left!",0.8,0.8,,,
E38mqkmYdhBOdtuKgz1sOA,6XbEHouWQ97saWHnSPGSDA,iSRTaT9WngzB8JJ2YKJUig,4,"This place is famous for a reason, and that reason is because it's Mother F'n good!

Be forewarned, everyone knows it's good, and you can find yourself waiting outside on a very long line, which isn't fun after a long night out on Bourbon St. 

The food?  Delicious, seriously, it is a breakfast that will blow you away.  You MUST get the Ferdi's Special sandwich.  Their specialty is the Black Ham, don't leave the place without trying it.",0.8,1,,,
